1896     07     14     33.430
1896     07     15     32.280
1896     07     16     31.950
1896     07     17     31.940
1896     07     18     31.500
1896     07     20     30.500
1896     07     21     30.680
1896     07     22     31.990
1896     07     23     32.290
1896     07     24     31.540
1896     07     25     31.680
1896     07     27     31.460
1896     07     28     30.820
1896     07     29     30.970
1896     07     30     31.480
1896     07     31     32.020
1896     08     01     31.740
1896     08     03     31.490
1896     08     04     30.990
1896     08     05     30.930
1896     08     06     29.990
1896     08     07     28.660
1896     08     08     28.480
1896     08     10     28.960
1896     08     11     30.300
1896     08     12     29.370
1896     08     13     30.370
1896     08     14     30.730
1896     08     15     30.610
1896     08     17     31.060
1896     08     18     30.990
1896     08     19     31.310
1896     08     20     30.720
1896     08     21     30.550
1896     08     22     30.910
1896     08     24     30.670
1896     08     25     30.610
1896     08     26     30.290
1896     08     27     30.310
1896     08     28     30.880
1896     08     29     31.240
1896     08     31     31.970
1896     09     01     32.020
1896     09     02     33.490
1896     09     03     33.800
1896     09     04     34.700
1896     09     05     35.070
1896     09     08     35.500
1896     09     09     35.390
1896     09     10     34.580
1896     09     11     35.300
1896     09     12     35.020
1896     09     14     34.860
1896     09     15     34.130
1896     09     16     33.320
1896     09     17     34.330
1896     09     18     34.810
1896     09     19     35.030
1896     09     21     35.530
1896     09     22     35.590
1896     09     23     35.780
1896     09     24     36.230
1896     09     25     36.610
1896     09     26     36.750
1896     09     28     36.350
1896     09     29     36.330
1896     09     30     36.050
1896     10     01     36.010
1896     10     02     35.880
1896     10     03     35.820
1896     10     05     35.920
1896     10     06     35.910
1896     10     07     35.300
1896     10     08     35.420
1896     10     09     34.960
1896     10     10     35.090
1896     10     12     34.740
1896     10     13     36.180
1896     10     14     36.150
1896     10     15     36.200
1896     10     16     36.260
1896     10     17     35.570
1896     10     19     36.500
1896     10     20     37.420
1896     10     21     37.320
1896     10     22     37.860
1896     10     23     38.490
1896     10     24     38.870
1896     10     26     38.710
1896     10     27     38.880
1896     10     28     38.390
1896     10     29     37.750
1896     10     30     39.400
1896     10     31     39.530
1896     11     02     40.930
1896     11     04     42.790
1896     11     05     41.860
1896     11     06     43.330
1896     11     07     44.080
1896     11     09     44.440
1896     11     10     44.560
1896     11     11     44.330
1896     11     12     44.900
1896     11     13     44.500
1896     11     14     44.540
1896     11     16     43.590
1896     11     17     43.590
1896     11     18     43.630
1896     11     19     43.440
1896     11     20     43.240
1896     11     21     42.910
1896     11     23     42.950
1896     11     24     42.710
1896     11     25     42.470
1896     11     27     41.900
1896     11     28     41.780
1896     11     30     41.000
1896     12     01     41.980
1896     12     02     41.950
1896     12     03     42.220
1896     12     04     42.070
