Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.140000,2.140000,2.020000,2.020000,1.892091,0
2000-01-04,2.000000,2.000000,2.000000,2.000000,1.873358,21000
2000-01-05,2.000000,2.150000,2.000000,2.150000,2.013859,214000
2000-01-06,2.280000,2.400000,2.280000,2.390000,2.238662,219000
2000-01-07,2.400000,2.450000,2.400000,2.440000,2.285496,38000
2000-01-10,2.420000,2.420000,2.420000,2.420000,2.266763,283000
2000-01-11,2.420000,2.420000,2.400000,2.400000,2.248029,221000
2000-01-12,2.400000,2.400000,2.400000,2.400000,2.248029,205000
2000-01-13,2.450000,2.450000,2.400000,2.430000,2.276129,69000
2000-01-14,2.600000,2.940000,2.600000,2.940000,2.753836,71000
2000-01-17,2.880000,2.880000,2.500000,2.500000,2.341697,0
2000-01-18,2.880000,2.880000,2.600000,2.600000,2.435364,0
2000-01-19,2.880000,2.930000,2.880000,2.930000,2.744469,106000
2000-01-20,2.800000,2.800000,2.800000,2.800000,2.622700,10000
2000-01-21,2.800000,2.800000,2.320000,2.320000,2.173095,0
2000-01-24,2.900000,2.900000,2.300000,2.300000,2.154361,0
2000-01-25,2.800000,2.800000,2.600000,2.600000,2.435364,27000
2000-01-26,2.500000,2.600000,2.300000,2.600000,2.435364,1007000
2000-01-27,2.450000,2.450000,2.450000,2.450000,2.294863,20000
2000-01-28,2.500000,2.500000,2.350000,2.350000,2.201195,0
2000-01-31,2.870000,2.870000,2.870000,2.870000,2.688268,4000
2000-02-01,2.740000,2.740000,2.500000,2.500000,2.341697,0
2000-02-02,2.740000,2.740000,2.550000,2.550000,2.388530,20000
2000-02-03,2.520000,2.520000,2.300000,2.440000,2.285496,1139000
2000-02-04,2.500000,2.700000,2.500000,2.700000,2.529033,37000
2000-02-07,2.890000,2.900000,2.850000,2.870000,2.688268,83000
2000-02-08,3.000000,3.000000,2.800000,2.800000,2.622700,27000
2000-02-09,2.750000,2.750000,2.750000,2.750000,2.575866,48000
2000-02-10,2.750000,2.750000,2.450000,2.450000,2.294863,47000
2000-02-11,2.750000,2.750000,2.400000,2.400000,2.248029,0
2000-02-14,2.500000,2.500000,2.350000,2.350000,2.201195,0
2000-02-15,2.450000,2.500000,2.450000,2.500000,2.341697,21000
2000-02-16,2.450000,2.500000,2.400000,2.500000,2.341697,22000
2000-02-17,2.350000,2.350000,2.350000,2.350000,2.201195,20000
2000-02-18,2.360000,2.360000,2.100000,2.100000,1.967025,0
2000-02-21,2.380000,2.380000,2.350000,2.350000,2.201195,0
2000-02-22,2.340000,2.340000,2.000000,2.000000,1.873358,0
2000-02-23,2.350000,2.380000,2.340000,2.380000,2.229295,75000
2000-02-24,2.380000,2.380000,2.040000,2.040000,1.910825,0
2000-02-25,2.380000,2.380000,2.380000,2.380000,2.229295,40000
2000-02-28,2.480000,2.480000,2.300000,2.300000,2.154361,0
2000-02-29,2.380000,2.870000,2.360000,2.870000,2.688268,97000
2000-03-01,2.700000,2.700000,2.250000,2.250000,2.107527,0
2000-03-02,2.390000,2.390000,2.180000,2.180000,2.041960,0
2000-03-03,2.600000,2.600000,2.250000,2.250000,2.107527,88000
2000-03-06,2.600000,2.600000,2.300000,2.300000,2.154361,0
2000-03-07,2.250000,2.300000,2.250000,2.300000,2.154361,35000
2000-03-08,2.170000,2.260000,2.170000,2.260000,2.116894,128000
2000-03-09,2.260000,2.260000,2.150000,2.150000,2.013859,105000
2000-03-10,2.110000,2.150000,2.110000,2.110000,1.976392,152000
2000-03-13,2.450000,2.450000,1.700000,1.700000,1.592354,0
2000-03-14,2.050000,2.050000,2.050000,2.050000,1.920191,50000
2000-03-15,2.450000,2.450000,2.000000,2.000000,1.873358,0
2000-03-16,2.300000,2.300000,2.010000,2.010000,1.882724,0
2000-03-17,2.000000,2.040000,2.000000,2.040000,1.910825,3000
2000-03-20,2.000000,2.000000,1.800000,1.800000,1.686022,103000
2000-03-21,1.800000,1.800000,1.800000,1.800000,1.686022,0
2000-03-22,1.900000,1.900000,1.900000,1.900000,1.779690,11000
2000-03-23,1.900000,2.000000,1.900000,2.000000,1.873358,63000
2000-03-24,2.100000,2.100000,2.010000,2.010000,1.882724,0
2000-03-27,2.000000,2.000000,2.000000,2.000000,1.873358,33000
2000-03-28,2.200000,2.200000,1.900000,1.900000,1.779690,0
2000-03-29,2.150000,2.200000,2.140000,2.200000,2.060693,104000
2000-03-30,2.170000,2.170000,2.000000,2.000000,1.873358,80000
2000-03-31,2.000000,2.300000,2.000000,2.300000,2.154361,23000
2000-04-03,2.300000,2.300000,2.000000,2.000000,1.873358,0
2000-04-04,2.000000,2.020000,2.000000,2.000000,1.873358,506000
2000-04-05,2.000000,2.000000,2.000000,2.000000,1.873358,42000
2000-04-06,2.100000,2.100000,1.650000,1.650000,1.545520,0
2000-04-07,2.000000,2.000000,1.760000,1.760000,1.648555,0
2000-04-10,1.700000,1.850000,1.700000,1.810000,1.695388,30000
2000-04-11,1.920000,1.920000,1.800000,1.800000,1.686022,0
2000-04-12,2.090000,2.090000,1.800000,1.800000,1.686022,0
